Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
Month-to-month,True,False,Fiber Optic,True,False,True,True,False,True,False,True,True,Bank Transfer(automatic),22.25746016,184.964681,2384.885909
Month-to-month,False,False,Fiber Optic,True,True,True,True,True,True,False,False,True,Credit Card (automatic),9.427146079,195.006206,1213.940165
Two Year,True,False,None,True,False,False,False,False,False,True,False,False,Bank Transfer(automatic),7.760290062,104.962874,740.010722
Month-to-month,False,True,None,True,False,False,False,False,True,False,False,True,Electronic Check,11.56938439,92.488023,897.9716153
Month-to-month,True,False,DSL,True,True,False,False,True,True,False,True,False,Bank Transfer(automatic),3.343811019,184.979684,1026.387172
Month-to-month,True,False,None,True,False,False,False,True,False,True,True,True,Credit Card (automatic),7.338869531,187.656013,1234.244324
Month-to-month,False,False,Fiber Optic,True,False,False,False,True,False,True,False,True,Electronic Check,5.486534225,149.962093,727.3731845
One year,False,False,Fiber Optic,True,True,False,False,False,False,True,False,True,Credit Card (automatic),1.55278221,169.944668,452.8721504
Month-to-month,True,False,Fiber Optic,True,True,True,False,True,False,False,False,True,Mailed Check,12.07970325,160.00128,1296.674543
One year,False,False,DSL,True,False,False,False,True,False,True,False,False,Mailed Check,13.98666226,129.962093,1840.628269
Month-to-month,False,False,DSL,True,False,False,True,False,False,False,False,True,Electronic Check,9.563362997,114.950905,1324.330108
Two Year,False,False,None,True,False,True,False,True,True,False,True,True,Mailed Check,6.732948946,142.515576,958.1397059
Two Year,True,False,None,True,True,False,False,False,True,True,True,True,Credit Card (automatic),15.72071086,220.14775,1868.864027
Two Year,False,False,Fiber Optic,True,False,False,False,True,False,False,False,True,Electronic Check,7.233605493,124.97808,676.712908
One year,False,True,DSL,True,False,True,True,False,True,False,True,True,Mailed Check,2.871017037,164.964681,1086.990308
Month-to-month,True,False,Fiber Optic,True,True,False,False,True,True,True,False,False,Electronic Check,2.344875382,194.976769,704.7540406
Month-to-month,True,False,DSL,True,False,True,True,False,False,False,True,True,Mailed Check,7.960490246,152.455519,1416.444695
Month-to-month,False,True,None,True,False,False,False,True,False,False,False,False,Mailed Check,12.25062113,92.5018,1095.950634
Month-to-month,False,True,None,True,False,False,False,True,False,False,True,True,Electronic Check,9.634946079,127.488728,1083.610268
Two Year,True,False,DSL,True,True,False,True,True,False,True,False,False,Bank Transfer(automatic),7.916533093,184.963371,1570.641337
Month-to-month,True,False,Fiber Optic,True,True,False,False,True,True,True,True,True,Bank Transfer(automatic),4.471254161,265.146969,1007.425553
Month-to-month,False,False,Fiber Optic,True,False,False,False,False,False,True,True,False,Bank Transfer(automatic),10.79028074,207.609354,1323.028419
Month-to-month,True,True,DSL,True,True,True,False,False,False,True,False,False,Electronic Check,12.24190682,152.462354,1808.730555
Month-to-month,True,False,DSL,True,False,False,False,True,False,True,True,True,Credit Card (automatic),2.203859443,200.132293,1120.241472
One year,True,True,None,True,False,True,True,False,True,True,True,False,Electronic Check,23.92132231,212.655686,2676.789803
One year,True,False,DSL,True,True,False,True,False,True,True,True,True,Bank Transfer(automatic),3.7311787,255.119794,1268.086909
Two Year,True,False,Fiber Optic,True,False,False,True,False,False,False,False,True,Bank Transfer(automatic),7.980015371,134.950905,822.6771666
Month-to-month,True,False,Fiber Optic,True,False,False,True,True,True,True,True,True,Electronic Check,9.190009376,255.137219,1577.915603
Month-to-month,False,False,Fiber Optic,True,True,False,True,True,False,False,True,False,Bank Transfer(automatic),2.378630018,214.966286,648.7471776
One year,True,True,DSL,True,True,True,True,True,True,True,True,True,Electronic Check,5.43464555,270.160419,1648.102673
Two Year,False,False,None,False,False,False,False,True,True,True,True,True,Electronic Check,1.092361222,200.165175,768.0874545
Two Year,False,False,DSL,True,False,False,True,False,False,False,True,False,Bank Transfer(automatic),20.13981517,149.937833,2426.030626
Month-to-month,False,True,Fiber Optic,True,True,False,False,False,False,True,True,True,Mailed Check,24.64873861,240.114868,2660.503932
Month-to-month,False,True,Fiber Optic,True,False,True,False,True,False,False,False,True,Credit Card (automatic),9.677739656,127.495766,1129.549713
One year,True,False,DSL,True,False,False,False,False,False,True,True,False,Electronic Check,9.82814183,187.609354,1771.286466
Month-to-month,True,False,Fiber Optic,True,True,False,False,True,True,False,False,False,Credit Card (automatic),7.832238337,169.992756,943.3391244
Two Year,True,False,Fiber Optic,True,True,False,False,False,True,False,True,False,Mailed Check,19.45250317,192.456745,1907.226083
Month-to-month,False,True,DSL,True,False,True,False,True,True,False,False,True,Credit Card (automatic),14.34766616,120.004928,1885.939118
One year,True,False,Fiber Optic,True,True,True,True,True,True,False,False,False,Bank Transfer(automatic),2.257358355,195.006206,631.7435653
One year,False,False,Fiber Optic,True,False,True,False,False,False,True,False,True,Credit Card (automatic),2.358129018,139.95684,562.6095219
Month-to-month,False,False,None,True,False,False,True,False,True,False,False,True,Bank Transfer(automatic),4.650578623,114.983787,593.8572264
Month-to-month,True,False,None,True,True,False,False,False,False,True,True,False,Electronic Check,3.721772616,207.638588,777.3060718
Month-to-month,True,False,DSL,True,False,False,False,False,False,True,True,True,Electronic Check,3.76663012,187.609354,1393.202392
One year,True,True,Fiber Optic,True,False,False,True,False,False,False,False,True,Bank Transfer(automatic),4.151256695,134.950905,393.6524652
Month-to-month,False,False,Fiber Optic,True,True,False,False,True,False,False,True,True,Mailed Check,2.188918771,192.470522,409.7486664
Month-to-month,True,True,DSL,False,False,False,True,True,False,True,True,True,Mailed Check,13.85488928,222.628057,2138.107161
Two Year,True,False,Fiber Optic,True,False,True,False,False,True,False,True,True,Electronic Check,3.273341151,162.468917,443.984031
Two Year,True,False,DSL,True,True,False,True,True,False,False,False,False,Electronic Check,19.75096265,159.979358,2481.385603
Two Year,False,True,DSL,True,True,False,False,True,True,False,True,True,Mailed Check,18.38404445,184.979684,2233.567181
Month-to-month,False,False,Fiber Optic,True,False,True,True,True,False,True,True,True,Credit Card (automatic),4.672610857,245.145743,1158.91369
Month-to-month,False,False,Fiber Optic,True,False,False,False,True,False,False,False,False,Electronic Check,6.796299371,124.97808,529.40733
Month-to-month,False,False,Fiber Optic,True,False,True,True,True,True,True,False,False,Mailed Check,12.97632235,187.484705,1956.7337
Month-to-month,False,False,Fiber Optic,True,False,True,True,True,True,False,False,True,Mailed Check,20.31163945,162.500692,2056.386979
One year,False,False,Fiber Optic,True,True,False,False,True,False,True,False,True,Electronic Check,6.998814446,182.467607,1067.373076
Month-to-month,False,False,None,False,False,False,True,True,True,True,True,True,Credit Card (automatic),14.46288204,222.660939,1806.135733
One year,False,False,Fiber Optic,True,True,False,False,True,False,True,False,True,Bank Transfer(automatic),11.13472066,182.467607,1397.701335
Month-to-month,False,True,None,True,True,False,False,True,False,True,True,True,Mailed Check,2.542296644,220.161527,808.4305471
Two Year,False,False,Fiber Optic,True,False,False,True,False,False,False,True,True,Electronic Check,17.22596021,169.937833,1886.531937
Month-to-month,True,False,Fiber Optic,False,True,False,True,True,False,True,False,True,Mailed Check,22.79214163,204.963371,2294.781131
Month-to-month,False,False,Fiber Optic,True,True,False,True,True,False,True,False,False,Electronic Check,3.823689744,204.963371,826.3438621
Month-to-month,False,False,DSL,True,True,True,True,False,False,True,True,False,Credit Card (automatic),10.77094687,245.128318,2072.564168
Month-to-month,False,True,None,True,True,False,True,False,True,True,False,True,Bank Transfer(automatic),13.08671185,172.473314,1436.793746
Month-to-month,True,False,DSL,False,True,False,False,False,True,False,True,False,Bank Transfer(automatic),14.76468813,172.456745,1963.332683
Month-to-month,False,False,Fiber Optic,True,True,False,False,True,True,True,False,True,Electronic Check,9.473091121,194.976769,1324.164906
Month-to-month,False,False,Fiber Optic,True,False,False,False,False,False,True,False,True,Bank Transfer(automatic),5.197446331,137.439154,704.9375603
Two Year,True,True,Fiber Optic,True,True,False,False,True,False,False,True,True,Credit Card (automatic),6.577552683,192.470522,888.6517305
Month-to-month,True,False,Fiber Optic,True,False,False,False,False,True,False,True,False,Mailed Check,3.174571918,159.951231,377.0810282
Month-to-month,False,False,Fiber Optic,True,False,False,False,False,False,False,False,True,Bank Transfer(automatic),17.88002366,112.455141,1606.489936
Month-to-month,False,False,Fiber Optic,True,False,True,True,False,True,True,False,True,Mailed Check,13.12190056,174.961766,1431.409396
Month-to-month,False,False,Fiber Optic,True,False,True,True,False,False,True,False,False,Credit Card (automatic),23.34617699,162.452604,2253.85247
One year,True,True,DSL,True,True,False,False,True,False,False,False,True,Mailed Check,6.311709178,137.483594,1353.29384
Two Year,False,True,Fiber Optic,True,True,False,True,True,False,True,True,True,Electronic Check,12.58298231,275.133571,1701.457566
Month-to-month,True,False,DSL,True,False,False,False,False,False,False,True,False,Electronic Check,7.120096363,127.442069,1290.737183
Two Year,False,False,None,True,False,False,True,False,True,True,True,False,Electronic Check,9.344886869,210.138,1403.270091
Two Year,False,False,DSL,True,True,False,True,False,False,False,False,True,Credit Card (automatic),22.37815032,147.456419,2603.903672
One year,True,True,None,True,True,False,True,True,False,True,True,True,Credit Card (automatic),4.799514433,242.657291,1256.287854
Month-to-month,False,True,None,True,False,False,True,False,True,False,False,True,Mailed Check,10.04672315,114.983787,980.9935923
Month-to-month,True,True,None,True,False,False,False,True,False,True,True,True,Bank Transfer(automatic),8.156552837,187.656013,1347.869205
Two Year,True,False,None,True,True,False,False,True,False,True,False,False,Credit Card (automatic),7.992791229,149.991327,1127.267848
Two Year,True,True,DSL,True,True,False,False,False,False,False,False,False,Bank Transfer(automatic),7.231032028,124.960655,1269.836202
Month-to-month,True,True,None,True,True,False,False,True,False,True,True,True,Electronic Check,4.627672042,220.161527,1038.745378
Two Year,False,False,DSL,False,True,False,True,True,True,False,False,False,Bank Transfer(automatic),10.05306287,172.48852,1531.155367
Two Year,True,True,DSL,True,False,True,False,True,True,False,False,False,Electronic Check,4.171044392,120.004928,991.2441024
Month-to-month,False,False,None,True,True,False,False,True,False,True,True,True,Mailed Check,4.568682641,220.161527,1244.296865
Month-to-month,True,False,DSL,True,False,False,False,True,False,False,True,True,Mailed Check,6.085030507,139.965008,1162.332926
Month-to-month,True,False,Fiber Optic,True,False,False,False,False,True,False,True,True,Mailed Check,2.730250735,159.951231,577.1157824
Month-to-month,True,False,DSL,True,True,False,True,False,True,True,False,False,Bank Transfer(automatic),8.574901206,184.949594,1442.974877
Month-to-month,True,False,Fiber Optic,True,True,False,False,True,False,True,True,True,Mailed Check,9.743201772,252.637807,1577.208717
Month-to-month,True,False,Fiber Optic,True,False,False,False,False,False,False,False,True,Bank Transfer(automatic),9.482919033,112.455141,886.9398744
Two Year,False,False,Fiber Optic,True,True,False,True,True,False,False,False,True,Electronic Check,8.447988841,179.979358,1065.06443
One year,True,True,Fiber Optic,True,True,False,True,False,False,False,True,True,Bank Transfer(automatic),6.365998533,202.443347,951.886985
One year,False,False,DSL,True,True,False,True,True,True,True,False,True,Bank Transfer(automatic),7.251397592,197.472533,1404.435534
One year,False,False,Fiber Optic,False,True,True,False,True,False,True,True,True,Mailed Check,14.64011644,255.155493,1925.911722
Month-to-month,False,True,DSL,True,True,False,False,True,True,True,False,False,Electronic Check,11.71637124,174.976769,1805.011298
Two Year,True,False,Fiber Optic,True,True,False,False,True,True,False,False,True,Electronic Check,4.13273503,169.992756,700.7343179
Month-to-month,False,False,Fiber Optic,True,True,False,True,False,False,True,False,True,Bank Transfer(automatic),2.887429547,192.440432,513.237305
Month-to-month,False,True,Fiber Optic,True,False,False,True,True,False,False,True,False,Bank Transfer(automatic),3.303030246,182.460772,717.3876564
One year,False,True,DSL,True,False,False,False,True,False,False,True,False,Credit Card (automatic),5.15825129,139.965008,1313.492851
Month-to-month,False,False,None,True,False,False,True,False,False,False,True,True,Electronic Check,3.237560234,137.461553,819.4195269
Month-to-month,False,False,Fiber Optic,True,True,False,True,True,True,True,False,False,Bank Transfer(automatic),2.733109234,217.472533,882.1160656
Two Year,True,True,None,True,False,False,True,False,True,True,True,True,Mailed Check,3.180102025,210.138,724.7803356
Two Year,False,False,DSL,False,False,False,False,False,True,False,False,True,Electronic Check,15.85983755,104.964303,1829.270014
Month-to-month,False,False,Fiber Optic,True,True,False,True,False,False,True,True,False,Bank Transfer(automatic),11.73724209,262.610632,1668.199119
Month-to-month,True,True,None,True,False,True,True,False,True,False,True,False,Credit Card (automatic),7.006240694,152.488401,1124.353152
One year,False,False,DSL,True,True,True,False,False,True,False,True,False,Credit Card (automatic),5.562130367,174.974431,1316.239744
One year,False,False,Fiber Optic,True,False,False,False,False,True,True,True,True,Credit Card (automatic),14.53027663,220.118516,1637.201426
Month-to-month,False,True,Fiber Optic,True,False,True,True,False,False,True,False,False,Mailed Check,5.905906389,162.452604,951.8524406
Month-to-month,True,True,DSL,True,True,True,True,False,False,False,True,True,Mailed Check,3.260462654,184.961033,1248.097652
One year,True,False,Fiber Optic,True,True,True,True,True,False,False,True,True,Electronic Check,18.91276578,217.483972,2220.255405
Two Year,True,False,Fiber Optic,True,False,False,False,False,True,True,True,False,Mailed Check,14.25617986,220.118516,1669.202417
One year,True,False,None,True,False,False,False,False,True,True,True,True,Bank Transfer(automatic),7.983887266,187.642236,990.0555076
Two Year,False,True,Fiber Optic,True,False,True,True,False,True,True,False,True,Electronic Check,5.969967132,174.961766,967.9819136
Two Year,False,False,Fiber Optic,True,True,False,False,True,False,True,True,True,Electronic Check,19.95277818,252.637807,2190.259876
One year,True,False,None,True,False,True,True,True,True,False,False,False,Credit Card (automatic),14.85781115,130.024412,1445.752781
Month-to-month,False,False,Fiber Optic,True,False,True,False,True,False,False,True,False,Credit Card (automatic),2.600063739,162.482694,528.6553088
Month-to-month,True,False,Fiber Optic,True,True,False,False,True,False,True,False,True,Bank Transfer(automatic),11.92299244,182.467607,1296.481055
Two Year,True,False,DSL,True,False,False,True,False,False,True,False,True,Mailed Check,5.972864167,139.934918,1195.393037
Two Year,False,False,None,True,False,False,False,True,True,True,True,False,Mailed Check,10.87555535,200.165175,1700.121992
Two Year,True,False,None,True,False,True,False,True,True,True,True,False,Mailed Check,16.00330155,202.682861,2120.673828
Two Year,True,False,Fiber Optic,True,False,False,False,False,True,False,True,False,Electronic Check,12.63074989,159.951231,1238.421347
Month-to-month,True,False,Fiber Optic,True,False,False,False,False,True,True,False,True,Mailed Check,8.4944392,149.948316,847.110799
Month-to-month,True,False,Fiber Optic,True,False,True,False,False,False,False,True,True,Electronic Check,8.044444101,149.959755,1112.937102
Two Year,True,True,DSL,True,True,False,False,False,True,False,False,False,Electronic Check,12.07358377,137.469817,1623.045026
One year,True,False,None,True,False,False,False,True,False,True,True,True,Bank Transfer(automatic),10.21634248,187.656013,1479.730181
Month-to-month,True,False,DSL,True,True,True,False,True,False,True,False,False,Mailed Check,15.50354683,164.985293,2144.735024
Month-to-month,True,False,Fiber Optic,True,False,False,False,True,False,False,True,False,Credit Card (automatic),13.88004531,159.965008,1522.289512
One year,False,False,Fiber Optic,True,True,True,False,False,False,True,False,True,Electronic Check,19.48900163,172.462354,1974.780054
Two Year,False,False,Fiber Optic,True,True,False,True,False,True,True,False,False,Electronic Check,10.01771765,204.949594,1261.177198
One year,True,False,Fiber Optic,True,False,False,True,True,False,False,False,False,Electronic Check,7.34059599,147.473844,939.7181324
Month-to-month,False,False,Fiber Optic,True,False,False,False,True,True,True,False,False,Electronic Check,12.64742067,162.471255,1357.062854
Two Year,True,False,DSL,True,False,True,False,False,False,True,False,False,Mailed Check,8.850426839,119.95684,1456.887443
One year,False,False,Fiber Optic,True,False,False,False,False,False,True,True,False,Bank Transfer(automatic),3.701557118,207.609354,937.5863866
One year,False,False,None,True,True,False,True,True,True,False,True,True,Mailed Check,2.976033785,194.999168,830.1193011
Two Year,True,False,Fiber Optic,True,False,True,True,True,False,True,False,True,Credit Card (automatic),5.522376826,174.975543,737.8564608
Month-to-month,True,False,Fiber Optic,True,True,False,False,False,False,True,True,False,Mailed Check,15.64596698,240.114868,1781.854862
Month-to-month,False,True,Fiber Optic,True,True,False,False,False,False,True,True,True,Credit Card (automatic),23.00764441,240.114868,2464.577489
One year,True,False,DSL,True,False,False,True,True,True,False,False,True,Mailed Check,17.24924155,139.983006,2392.203409
Month-to-month,True,False,Fiber Optic,True,True,False,False,False,False,True,True,True,Credit Card (automatic),13.01107597,240.114868,1664.19271
Two Year,True,False,DSL,True,True,True,True,True,True,False,True,True,Bank Transfer(automatic),5.104082209,209.993134,1433.616898
Two Year,True,True,DSL,True,True,False,True,False,False,False,False,False,Mailed Check,3.521499924,147.456419,823.4933243
Month-to-month,False,False,DSL,True,False,True,False,True,False,False,False,True,Mailed Check,8.08137067,107.495766,1468.357421
Month-to-month,False,True,None,True,False,True,True,True,False,False,True,True,Credit Card (automatic),1.875430489,152.502178,590.7765801
One year,True,False,None,True,False,False,False,False,False,False,False,False,Bank Transfer(automatic),5.587484456,79.978861,418.6206885
Two Year,True,True,DSL,True,False,True,False,True,False,False,True,True,Mailed Check,7.007695148,142.482694,1181.991846
One year,False,False,DSL,True,False,False,False,False,False,True,False,True,Bank Transfer(automatic),1.408375942,117.439154,733.4036934
Month-to-month,True,True,Fiber Optic,True,False,False,False,True,False,True,True,True,Electronic Check,11.64983735,220.132293,1719.173387
Two Year,False,False,DSL,True,False,True,True,False,False,False,True,True,Electronic Check,2.964559883,152.455519,1205.956363
Month-to-month,False,False,Fiber Optic,True,False,True,True,False,True,True,False,False,Electronic Check,10.25635754,174.961766,1261.032763
Month-to-month,True,False,Fiber Optic,True,True,False,True,False,False,False,True,True,Bank Transfer(automatic),3.892407013,202.443347,741.7766988
Two Year,True,False,Fiber Optic,True,False,True,False,False,False,True,True,False,Credit Card (automatic),3.226996711,210.12704,932.6084359
One year,False,True,None,True,False,True,True,False,False,False,True,False,Bank Transfer(automatic),15.87685513,139.979239,1708.614019
Two Year,True,True,DSL,True,False,False,False,True,False,False,True,False,Mailed Check,5.874064017,139.965008,1363.58603
Month-to-month,False,True,Fiber Optic,True,False,False,False,False,False,True,False,True,Bank Transfer(automatic),3.756359276,137.439154,472.1057019
Month-to-month,False,False,None,True,False,False,True,False,False,False,False,False,Credit Card (automatic),2.905283283,102.474625,558.2340556
Month-to-month,True,True,Fiber Optic,True,True,False,False,True,False,True,True,True,Electronic Check,1.474810061,252.637807,815.194738
Month-to-month,True,True,None,True,True,False,True,True,True,False,True,True,Electronic Check,18.56165869,194.999168,2007.303617
Month-to-month,True,False,DSL,True,True,False,True,False,False,True,True,False,Bank Transfer(automatic),12.39088509,242.610632,2088.48083
Month-to-month,True,False,None,True,False,False,True,False,False,True,False,False,Electronic Check,14.17192333,127.458638,1430.761492
Two Year,False,True,None,True,False,True,True,False,False,True,False,True,Electronic Check,3.86023041,129.976324,822.3008694
One year,False,False,Fiber Optic,True,True,False,False,False,False,True,True,False,Electronic Check,17.72593456,240.114868,2059.200998
Month-to-month,False,False,Fiber Optic,True,False,True,True,True,False,True,False,True,Bank Transfer(automatic),3.043063167,174.975543,617.542543
One year,True,False,Fiber Optic,True,True,False,False,False,False,True,False,False,Electronic Check,5.827112819,169.944668,758.4775985
Month-to-month,True,True,None,True,True,True,False,True,False,False,True,False,Electronic Check,4.648958177,162.511928,894.6733856
Month-to-month,True,False,DSL,True,False,True,False,False,False,True,False,True,Electronic Check,11.96274778,119.95684,1639.898269
Month-to-month,False,False,Fiber Optic,False,False,False,False,False,False,True,False,False,Bank Transfer(automatic),4.525864256,137.439154,710.7541633
Two Year,True,False,Fiber Optic,True,True,True,True,False,True,True,False,False,Credit Card (automatic),8.038308899,207.46728,1092.226042
One year,False,False,DSL,True,True,True,True,False,False,False,False,True,Bank Transfer(automatic),1.416592892,149.974105,757.0097075
Month-to-month,False,False,None,True,False,True,True,True,True,True,True,True,Electronic Check,19.83504645,225.178625,2301.850721
Month-to-month,True,False,DSL,False,True,False,False,True,False,True,True,True,Electronic Check,15.85002222,232.637807,2401.406545
Month-to-month,True,True,None,True,False,False,False,False,True,True,False,False,Credit Card (automatic),15.94935291,117.472036,1535.788894
Month-to-month,True,False,DSL,True,True,False,False,False,True,False,False,True,Electronic Check,11.94550648,137.469817,1536.589816
Month-to-month,True,False,Fiber Optic,True,False,False,False,True,False,True,True,False,Electronic Check,16.03360405,220.132293,2153.778421
Two Year,True,True,DSL,True,True,False,False,False,False,False,False,False,Bank Transfer(automatic),21.29342532,124.960655,2409.195918
One year,True,True,DSL,True,True,True,True,True,True,True,False,False,Bank Transfer(automatic),4.95598008,199.990219,1342.862457
Month-to-month,False,False,DSL,True,True,False,False,False,False,False,True,False,Bank Transfer(automatic),2.73951266,159.947583,1046.054674
One year,False,False,Fiber Optic,False,False,True,True,True,False,True,True,False,Electronic Check,4.973046104,245.145743,1204.479468
Month-to-month,True,False,Fiber Optic,True,True,True,False,True,False,True,True,False,Credit Card (automatic),10.28430068,255.155493,1616.908193
Two Year,True,True,Fiber Optic,True,False,False,True,False,False,False,False,False,Bank Transfer(automatic),2.581692044,134.950905,345.0099528
Month-to-month,True,True,DSL,True,True,False,False,False,False,False,True,False,Credit Card (automatic),6.945736396,159.947583,1427.088655
Month-to-month,False,False,DSL,True,True,True,False,False,True,False,False,True,Bank Transfer(automatic),9.999416271,139.987503,1452.334634
Month-to-month,False,True,Fiber Optic,True,True,False,False,False,False,False,True,False,Bank Transfer(automatic),6.035737465,179.947583,795.4957358
Month-to-month,False,True,DSL,False,False,False,True,True,False,False,False,True,Credit Card (automatic),9.004964377,127.473844,1333.894229
One year,True,False,DSL,True,True,False,False,True,False,True,True,False,Credit Card (automatic),5.071456681,232.637807,1402.20491
Month-to-month,True,True,Fiber Optic,True,True,True,True,True,True,False,False,True,Bank Transfer(automatic),12.02106494,195.006206,1447.196935
Month-to-month,True,True,DSL,True,True,False,True,True,True,True,True,True,Bank Transfer(automatic),5.049303717,267.642733,1662.510936
Two Year,False,True,Fiber Optic,True,False,True,False,False,False,False,True,False,Mailed Check,18.17247008,149.959755,1707.641161
Two Year,True,False,DSL,True,True,False,False,False,False,True,True,True,Bank Transfer(automatic),15.31997698,220.114868,2181.752793
