Contract,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,InternetService_Fiber Optic,InternetService_nan,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
12,0,0,1,0,0,0,1,0,1,1,0,0.006058210451377795,200.132293,0.1576230096243268,0,0,0,0,0
24,0,1,1,1,1,1,1,0,1,1,1,0.06233333224683947,257.651257,0.22697579175268368,0,0,1,0,0
24,1,0,0,0,0,1,0,0,1,1,1,0.142010671925795,230.105118,0.23416361984206938,1,0,1,0,0
24,0,1,1,1,0,1,0,1,0,0,0,0.03642198990861405,147.489301,0.048114748934151345,0,1,0,1,0
1,1,1,1,0,0,1,0,0,1,1,1,0.052495500506246,230.105118,0.12258007258579452,1,0,0,1,0
1,0,0,1,1,1,1,0,0,1,0,0,0.2802711126860774,174.958118,0.3605717911227879,0,0,0,1,0
12,1,0,1,1,1,0,1,1,1,1,0,0.03480429159485818,267.664655,0.13226400774506777,1,0,0,0,1
1,1,0,1,1,1,1,0,1,0,0,1,0.06307592446163186,162.483267,0.15056161134633675,0,0,0,0,1
1,1,0,1,1,1,1,1,1,0,1,1,0.03257414605865072,229.993134,0.10595957280940232,1,0,1,0,0
12,1,1,1,1,1,0,1,0,0,0,1,0.08678010104541067,140.00128,0.16926218377015,0,0,0,1,0
24,1,0,1,0,1,1,0,1,0,1,0,0.12461163466420132,184.964681,0.1368587721797395,1,0,1,0,0
24,1,0,1,0,0,1,1,0,0,0,0,0.2118587338272167,147.473844,0.19627413697792317,1,0,0,1,0
1,0,0,1,0,0,1,1,0,1,0,1,0.1152061009569424,172.457857,0.16486540391264715,1,0,0,0,1
1,1,0,1,0,1,0,0,1,0,0,1,0.02820580883206791,107.481989,0.10528913114667096,0,0,0,1,0
24,1,0,1,1,1,0,0,1,1,1,0,0.04118359785555949,255.141716,0.1385134172389106,1,0,1,0,0
24,1,1,1,1,0,0,0,1,0,1,1,0.2473180163158606,192.456745,0.26575426703334964,1,0,0,1,0
24,1,0,1,1,1,0,0,0,1,1,1,0.10983440756660151,242.632554,0.17951518744257766,1,0,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1,0.13207374655074575,245.174977,0.22205876329057495,0,1,0,1,0
1,1,0,1,0,1,1,0,1,0,1,1,0.29940132444638146,184.964681,0.3183247249438899,1,0,0,0,0
1,0,0,1,1,1,1,1,1,0,0,1,0.11869018277526197,195.006206,0.15112975746022925,1,0,1,0,0
24,1,0,1,0,0,0,0,0,1,0,0,0.09521301363257424,104.962874,0.08345914315725401,0,1,0,0,0
1,0,1,1,0,0,0,0,1,0,0,1,0.14886296954169848,92.488023,0.1060137888821404,0,1,0,1,0
1,1,0,1,1,0,0,1,1,0,1,0,0.033008225426415336,184.979684,0.12434976639166082,0,0,0,0,0
1,1,0,1,0,0,0,1,0,1,1,1,0.08927743132337455,187.656013,0.15402891245625105,0,1,1,0,0
1,0,0,1,0,0,0,1,0,1,0,1,0.06318784179409835,149.962093,0.08165467639847135,1,0,0,1,0
12,0,0,1,1,0,0,0,0,1,0,1,0.00778211959635219,169.944668,0.0424596994272918,1,0,1,0,0
1,1,0,1,1,1,0,1,0,0,0,1,0.15605065826269948,160.00128,0.16294309015337144,1,0,0,0,1
12,0,0,1,0,0,0,1,0,1,0,0,0.18290960634780112,129.962093,0.2406122101763962,0,0,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0.12060875738000638,114.950905,0.16689192494320715,0,0,0,1,0
24,0,0,1,0,1,0,1,1,0,1,1,0.08074322086008333,142.515576,0.11460496571758987,0,1,0,0,1
24,1,0,1,1,0,0,0,1,1,1,1,0.20733316295295504,220.14775,0.2446438885567794,0,1,1,0,0
24,0,0,1,0,0,0,1,0,0,0,1,0.08779481878842016,124.97808,0.07442108481189928,1,0,0,1,0
12,0,1,1,0,1,1,0,1,0,1,1,0.026349063404109217,164.964681,0.13300306173420562,0,0,0,0,1
1,1,0,1,1,0,0,1,1,1,0,0,0.018938515341487532,194.976769,0.07842497335864483,1,0,0,1,0
1,1,0,1,0,1,1,0,0,0,1,1,0.098032773428399,152.455519,0.1800446226298011,0,0,0,0,1
1,0,1,1,0,0,0,1,0,0,0,0,0.15845798555272636,92.5018,0.13428247320300293,0,1,0,0,1
1,0,1,1,0,0,0,1,0,0,1,1,0.12161698370953278,127.488728,0.13252043845230788,0,1,0,1,0
24,1,0,1,1,0,1,1,0,1,0,0,0.0974136500575218,184.963371,0.202061784976889,0,0,0,0,0
1,1,0,1,1,0,0,1,1,1,1,1,0.04888792533663098,265.146969,0.1216423076657657,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,1,0,0.13788952733422113,207.609354,0.16670606163472848,1,0,0,0,0
1,1,1,1,1,1,0,0,0,1,0,0,0.15833524709916755,152.462354,0.23605765478186966,0,0,0,1,0
1,1,0,1,0,0,0,1,0,1,1,1,0.01695234795933029,200.132293,0.13775087119699303,0,0,1,0,0
12,1,1,1,0,1,1,0,1,1,1,0,0.32283632586658273,212.655686,0.3600045912534633,0,1,0,1,0
12,1,0,1,1,0,1,0,1,1,1,1,0.03846418351427441,255.119794,0.15886116871375197,0,0,0,0,0
24,1,0,1,0,0,1,0,0,0,0,1,0.09830777898225732,134.950905,0.09526277589404701,1,0,0,0,0
1,1,0,1,0,0,1,1,1,1,1,1,0.11535018314152619,255.137219,0.2031004502383407,1,0,0,1,0
1,0,0,1,1,0,1,1,0,0,1,0,0.019413939307708756,214.966286,0.07042796266354738,1,0,0,0,0
12,1,1,1,1,1,1,1,1,1,1,1,0.06245700530483908,270.160419,0.2131221997058578,0,0,0,1,0
24,0,0,0,0,0,0,1,1,1,1,1,0.0012972274989687179,200.165175,0.08746811488069961,0,1,0,1,0
24,0,0,1,0,0,1,0,0,0,1,0,0.2695749272606938,149.937833,0.3241996253448597,0,0,0,0,0
1,0,1,1,1,0,0,0,0,1,1,1,0.33308176718729404,240.114868,0.357679192586411,1,0,0,0,1
1,0,1,1,0,1,0,1,0,0,0,1,0.122219718459987,127.495766,0.13907996014863716,1,0,1,0,0
12,1,0,1,0,0,0,0,0,1,1,0,0.12433808815863744,187.609354,0.23071115322542324,0,0,0,1,0
1,1,0,1,1,0,0,1,1,0,0,0,0.09622638359642974,169.992756,0.11249164598837806,1,0,1,0,0
24,1,0,1,1,0,0,0,1,0,1,0,0.2598943430271254,192.456745,0.25012146319112244,1,0,0,0,1
1,0,1,1,0,1,0,1,1,0,0,1,0.1879942384546125,120.004928,0.2470819769986684,0,0,1,0,0
12,1,0,1,1,1,1,1,1,0,0,0,0.017705864155788766,195.006206,0.06800008039814733,1,0,0,0,0
12,0,0,1,0,1,0,0,0,1,0,1,0.019125188845949923,139.95684,0.05812868866415339,1,0,1,0,0
1,0,0,1,0,0,1,0,1,0,0,1,0.05141365682324892,114.983787,0.06259043163097058,0,1,0,0,0
1,1,0,1,1,0,0,0,0,1,1,0,0.038331701630544716,207.638588,0.08878440679910451,0,1,0,1,0
1,1,0,1,0,0,0,0,0,1,1,1,0.03896350617633998,187.609354,0.17672594103055322,0,0,0,1,0
12,1,1,1,0,0,1,0,0,0,0,1,0.04438085660490292,134.950905,0.03400394185514026,1,0,0,0,0
1,0,0,1,1,0,0,1,0,0,1,1,0.016741913056692013,192.470522,0.03630225828016197,1,0,0,0,1
1,1,1,0,0,0,1,1,0,1,1,1,0.1810536232824708,222.628057,0.283088109619108,0,0,0,0,1
24,1,0,1,0,1,0,0,1,0,1,1,0.03201567838358406,162.468917,0.04119059806910463,1,0,0,1,0
24,1,0,1,1,0,1,1,0,0,0,0,0.26409805565901173,159.979358,0.3321035556738244,0,0,0,1,0
24,0,1,1,1,0,0,1,1,0,1,1,0.24484542108330543,184.979684,0.2967184891833807,0,0,0,0,1
1,0,0,1,0,1,1,1,0,1,1,1,0.05172397425854859,245.145743,0.14327273270437904,1,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0.08163549267469572,124.97808,0.05338787174453806,1,0,0,1,0
1,0,0,1,0,1,1,1,1,1,0,0,0.16867927048389797,187.484705,0.25719047083466406,1,0,0,0,1
1,0,0,1,0,1,1,1,1,0,0,1,0.2719950209239971,162.500692,0.2714195901832076,1,0,0,0,1
12,0,0,1,1,0,0,1,0,1,0,1,0.08448785701884355,182.467607,0.13020199047777395,1,0,0,1,0
1,0,0,0,0,0,1,1,1,1,1,1,0.18961701971171951,222.660939,0.2356871498441824,0,1,1,0,0
12,0,0,1,1,0,0,1,0,1,0,1,0.14274086073006403,182.467607,0.1773683282909794,1,0,0,0,0
1,0,1,1,1,0,0,1,0,1,1,1,0.021719134850951054,220.161527,0.09322855432890627,0,1,0,0,1
24,0,0,1,0,0,1,0,0,0,1,1,0.22853415045964665,169.937833,0.24716662340857815,1,0,0,1,0
1,1,0,0,1,0,1,1,0,1,0,1,0.30693215325260514,204.963371,0.30545900037464596,1,0,0,0,1
1,0,0,1,1,0,1,1,0,1,0,0,0.03976717393780457,204.963371,0.09578632964368598,1,0,0,1,0
1,0,0,1,1,1,1,0,0,1,1,0,0.13761721554991377,245.128318,0.27372947055357605,0,0,1,0,0
1,0,1,1,1,0,1,0,1,1,0,1,0.17023407362024873,172.473314,0.18295018758676151,0,1,0,0,0
1,1,0,0,1,0,0,0,1,0,1,0,0.19386786834588995,172.456745,0.2581327149597772,0,0,0,0,0
1,0,0,1,1,0,0,1,1,1,0,1,0.11933730496896125,194.976769,0.16686833636691334,1,0,0,1,0
1,0,0,1,0,0,0,0,0,1,0,1,0.05911612515191559,137.439154,0.07845117745087654,1,0,0,0,0
24,1,1,1,1,0,0,1,0,0,1,1,0.07855451090950302,192.470522,0.10468303735580198,1,0,1,0,0
1,1,0,1,0,0,0,0,1,0,1,0,0.030624543237185546,159.951231,0.031637768285980826,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,0.23774643879714608,112.455141,0.20718047247787008,1,0,0,0,0
1,0,0,1,0,1,1,0,1,1,0,1,0.17072969609043057,174.961766,0.18218137636917647,1,0,0,0,1
1,0,0,1,0,1,1,0,0,1,0,0,0.31473557581885664,162.452604,0.2996149498026112,1,0,1,0,0
12,1,1,1,1,0,0,1,0,0,0,1,0.07481018454374833,137.483594,0.17102754801093611,0,0,0,0,1
24,0,1,1,1,0,1,1,0,1,1,1,0.16313919350334882,275.133571,0.22074054551388458,1,0,0,1,0
1,1,0,1,0,0,0,0,0,0,1,0,0.0861960765952909,127.442069,0.16209531670423816,0,0,0,1,0
24,0,0,1,0,0,1,0,1,1,1,0,0.11753158637160278,210.138,0.17816347015226144,0,1,0,1,0
24,0,0,1,1,0,1,0,0,0,0,1,0.30110120930222983,147.456419,0.3495974529509435,0,0,1,0,0
12,1,1,1,1,0,1,1,0,1,1,1,0.053511373222933124,242.657291,0.15717642573810905,0,1,1,0,0
1,0,1,1,0,0,1,0,1,0,0,1,0.12741674076494228,114.983787,0.11786818676186335,0,1,0,0,1
1,1,1,1,0,0,0,1,0,1,1,1,0.10079425646263555,187.656013,0.17025298464872815,0,1,0,0,0
24,1,0,1,1,0,0,1,0,1,0,0,0.09848772312629249,149.991327,0.13875414117159912,0,1,1,0,0
24,1,1,1,1,0,0,0,0,0,0,0,0.08775857230253802,124.960655,0.15911094372489404,0,0,0,0,0
1,1,1,1,1,0,0,1,0,1,1,1,0.05109102447160432,220.161527,0.12611434844929575,0,1,0,1,0
24,0,0,0,1,0,1,1,1,0,0,0,0.12750603382759393,172.48852,0.1964237308620514,0,0,0,0,0
24,1,1,1,0,1,0,1,1,0,0,0,0.04465956040695618,120.004928,0.11933181879745698,0,0,0,1,0
1,0,0,1,1,0,0,1,0,1,1,1,0.05026017637748075,220.161527,0.15546427722377795,0,1,0,0,1
1,1,0,1,0,0,0,1,0,0,1,1,0.07161748316712627,139.965008,0.1437609526366588,0,0,0,0,1
1,1,0,1,0,0,0,0,1,0,1,1,0.024366412084535362,159.951231,0.0601999833975215,1,0,0,0,1
1,1,0,1,1,0,1,0,1,1,0,0,0.10668656828765898,184.949594,0.18383276818612126,0,0,0,0,0
1,1,0,1,1,0,0,1,0,1,1,1,0.12314173281161427,252.637807,0.20299951662771845,1,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,1,0.11947572817407931,112.455141,0.10443860781972587,1,0,0,0,0
24,0,0,1,1,0,1,1,0,0,0,1,0.10489904553283455,179.979358,0.12987234754181454,1,0,0,1,0
12,1,1,1,1,0,1,0,0,0,1,1,0.07557483389377219,202.443347,0.11371216306390866,1,0,0,0,0
12,0,0,1,1,0,1,1,1,1,0,1,0.0880454151886889,197.472533,0.17832987940349063,0,0,0,0,0
12,0,0,0,1,1,0,1,0,1,1,1,0.19211331329932743,255.155493,0.2527895157640318,1,0,0,0,1
1,0,1,1,1,0,0,1,1,1,0,0,0.1509332354218983,174.976769,0.23552659597204456,0,0,0,1,0
24,1,0,1,1,0,0,1,1,0,0,1,0.04411998448543107,169.992756,0.07785101217422308,1,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0,1,0.026580228705368737,192.440432,0.05107901429496098,1,0,0,0,0
1,0,1,1,0,0,1,1,0,0,1,0,0.032433840419116566,182.460772,0.08022888015253812,1,0,0,0,0
12,0,1,1,0,0,0,1,0,0,1,0,0.058564074706210174,139.965008,0.165344513510174,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,1,1,0.03151171485468769,137.461553,0.09479762969363095,0,1,0,1,0
1,0,0,1,1,0,1,1,1,1,0,0,0.024406673189173538,217.472533,0.10374983418559633,1,0,0,0,0
24,1,1,1,0,0,1,0,1,1,1,1,0.03070243314254752,210.138,0.08128445319236048,0,1,0,0,1
24,0,0,0,0,0,0,0,1,0,0,1,0.20929272082722838,104.964303,0.23899040738568028,0,0,0,1,0
1,0,0,1,1,0,1,0,0,1,1,0,0.15122719511044028,262.610632,0.21599169613874047,1,0,0,0,0
1,1,1,1,0,1,1,0,1,0,1,0,0.0845924535038509,152.488401,0.13833796262067835,0,1,1,0,0
12,0,0,1,1,1,0,0,1,0,1,0,0.06425259087510349,174.974431,0.16573673209772977,0,0,1,0,0
12,0,0,1,0,0,0,0,1,1,1,1,0.19056625238244518,220.118516,0.21156565137982677,1,0,1,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0.06909457346590955,162.452604,0.1137072305981097,1,0,0,0,1
1,1,1,1,1,1,1,0,0,0,1,1,0.031834288599890105,184.961033,0.15600697739766178,0,0,0,0,1
12,1,0,1,1,1,1,1,0,0,1,1,0.2522923030978045,217.483972,0.2948177504285116,1,0,0,1,0
24,1,0,1,0,0,0,0,1,1,1,0,0.1867056812442517,220.118516,0.2161349533112832,1,0,0,0,1
12,1,0,1,0,0,0,0,1,1,1,1,0.09836231346687424,187.642236,0.11916210378721374,0,1,0,0,0
24,0,1,1,0,1,1,0,1,1,0,1,0.06999684989739406,174.961766,0.11601029777913151,1,0,0,1,0
24,0,0,1,1,0,0,1,0,1,1,1,0.2669405671207747,252.637807,0.29053480092251793,1,0,0,1,0
12,1,0,1,0,1,1,1,1,0,0,0,0.19517947826859505,130.024412,0.1842294147184927,0,1,1,0,0
1,0,0,1,0,1,0,1,0,0,1,0,0.022532767130143114,162.482694,0.053280493447357934,1,0,1,0,0
1,1,0,1,1,0,0,1,0,1,0,1,0.1538434333102532,182.467607,0.1629154627248298,1,0,0,0,0
24,1,0,1,0,0,1,0,0,1,0,1,0.0700376537700823,139.934918,0.1484814823554561,0,0,0,0,1
24,0,0,1,0,0,0,1,1,1,1,0,0.13909059474624028,200.165175,0.22054984389286905,0,1,0,0,1
24,1,0,1,0,1,0,1,1,1,1,0,0.21131336841738346,202.682861,0.2805988691406296,0,1,0,0,1
24,1,0,1,0,0,0,0,1,0,1,0,0.16381198560042223,159.951231,0.15462533396274872,1,0,0,1,0
1,1,0,1,0,0,0,0,1,1,0,1,0.10555328496555069,149.948316,0.09875156296685414,1,0,0,0,1
1,1,0,1,0,1,0,0,0,0,1,1,0.09921523840072642,149.959755,0.1367079074978666,1,0,0,1,0
24,1,1,1,1,0,0,0,1,0,0,0,0.15596446721466653,137.469817,0.20954431191998096,0,0,0,1,0
12,1,0,1,0,0,0,1,0,1,1,1,0.1298057783660702,187.656013,0.18908092070610003,0,1,0,0,0
1,1,0,1,1,1,0,1,0,1,0,0,0.20427447245298383,164.985293,0.2840344774115095,0,0,0,0,1
1,1,0,1,0,0,0,1,0,0,1,0,0.1814079384514147,159.965008,0.19515780855434808,1,0,1,0,0
12,0,0,1,1,1,0,0,0,1,0,1,0.2604084129348609,172.462354,0.2597672422911464,1,0,0,1,0
24,0,0,1,1,0,1,0,1,1,0,0,0.12700820696080853,204.949594,0.1578745568985708,1,0,0,1,0
12,1,0,1,0,0,1,1,0,0,0,0,0.08930174798273055,147.473844,0.11197461807073052,1,0,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,0.16404678855749166,162.471255,0.17156571143687147,1,0,0,1,0
24,1,0,1,0,1,0,0,0,1,0,0,0.11056726453443451,119.95684,0.18581929150020599,0,0,0,0,1
12,0,0,1,0,0,0,0,0,1,1,0,0.038046972379182115,207.609354,0.11167023405333197,1,0,0,0,0
12,0,0,1,1,0,1,1,1,0,1,1,0.027828192933274185,194.999168,0.09632541047136398,0,1,0,0,1
24,1,0,1,0,1,1,1,0,1,0,1,0.06369267412371095,174.975543,0.08315154425001953,1,0,1,0,0
1,1,0,1,1,0,0,0,0,1,1,0,0.20628041772766617,240.114868,0.23222017500088002,1,0,0,0,1
1,0,1,1,1,0,0,0,0,1,1,1,0.3099674455425087,240.114868,0.32970358788019133,1,0,1,0,0
12,1,0,1,0,0,1,1,1,0,0,1,0.2288620611798732,139.983006,0.3193695634266554,0,0,0,0,1
1,1,0,1,1,0,0,0,0,1,1,1,0.16916876484138255,240.114868,0.21541963596779437,1,0,1,0,0
24,1,0,1,1,1,1,1,1,0,1,1,0.05780111937955286,209.993134,0.18249657733130586,0,0,0,0,0
24,1,1,1,1,0,1,0,0,0,0,0,0.03551092058119665,147.456419,0.09537931200241263,0,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,0.09973533809585931,107.495766,0.18745704680063285,0,0,0,0,1
1,0,1,1,0,1,1,1,0,0,1,1,0.012326524237440096,152.502178,0.062150557656795107,0,1,1,0,0
12,1,0,1,0,0,0,0,0,0,0,0,0.06460969564590613,79.978861,0.03756906116503058,0,1,0,0,0
24,1,1,1,0,1,0,1,0,0,1,1,0.08461293905402442,142.482694,0.14656797636684102,0,0,0,0,1
12,0,0,1,0,0,0,0,0,1,0,1,0.005748200442853827,117.439154,0.0825157502309797,0,0,0,0,0
1,1,1,1,0,0,0,1,0,1,1,1,0.14999612545359864,220.132293,0.2232701213983513,1,0,0,1,0
24,0,0,1,0,1,1,0,0,0,1,1,0.02766658645063063,152.455519,0.14998978020455722,0,0,0,1,0
1,0,0,1,0,1,1,0,1,1,0,0,0.13036937853446726,174.961766,0.15785393356460997,1,0,0,1,0
1,1,0,1,1,0,1,0,0,0,1,1,0.040735036147187334,202.443347,0.08371130038585821,1,0,0,0,0
24,1,0,1,0,1,0,0,0,1,1,0,0.03136293078834702,210.12704,0.11095945107326101,1,0,1,0,0
12,0,1,1,0,1,1,0,0,0,1,0,0.2095324083587155,139.979239,0.2217623886972809,0,1,0,0,0
24,1,1,1,0,0,0,1,0,0,1,0,0.0686460831669731,139.965008,0.17249713136371156,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1,0,1,0.03881884440629691,137.439154,0.045205986378771434,1,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0.026831693244372706,102.474625,0.05750393218034286,0,1,1,0,0
1,1,1,1,1,0,0,1,0,1,1,1,0.006683905166418108,252.637807,0.09419438787275217,1,0,0,1,0
1,1,1,1,1,0,1,1,1,0,1,1,0.2473470646038627,194.999168,0.26441116032586426,0,1,0,1,0
1,1,0,1,1,0,1,0,0,1,1,0,0.16043356153526978,242.610632,0.27600215124708766,0,0,0,0,0
1,1,0,1,0,0,1,0,0,1,0,0,0.1855189531849523,127.458638,0.18208886457794482,0,1,0,1,0
24,0,1,1,0,1,1,0,0,1,0,1,0.04028183830444401,129.976324,0.09520904582291385,0,1,0,1,0
12,0,0,1,1,0,0,0,0,1,1,0,0.23557613984699716,240.114868,0.2718213934414834,1,0,0,1,0
1,0,0,1,0,1,1,1,0,1,0,1,0.028772281758400246,174.975543,0.06597236948681817,1,0,0,0,0
12,1,0,1,1,0,0,0,0,1,0,0,0.0679847895665326,169.944668,0.08609595945020627,1,0,0,1,0
1,1,1,1,1,1,0,1,0,0,1,0,0.05139083332533393,162.511928,0.10554284698729104,0,1,0,1,0
1,1,0,1,0,1,0,0,0,1,0,1,0.15440337540002347,119.95684,0.21195072351489705,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0.04965709221375618,137.439154,0.07928170845919486,1,0,0,0,0
24,1,0,1,1,1,1,0,1,1,0,0,0.0991288259130193,207.46728,0.13375065262846236,1,0,1,0,0
12,0,0,1,1,1,1,0,0,0,0,1,0.0058639337293642044,149.974105,0.08588636477917037,0,0,0,0,0
1,0,0,1,0,1,1,1,1,1,1,1,0.2652823508678521,225.178625,0.30646844071484053,0,1,0,1,0
1,1,0,0,1,0,0,1,0,1,1,1,0.20915447483582233,232.637807,0.32068364482808,0,0,0,1,0
1,1,1,1,0,0,0,0,1,1,0,0,0.2105535179363698,117.472036,0.19708533486895716,0,1,1,0,0
1,1,0,1,1,0,0,0,1,0,0,1,0.15416053683915704,137.469817,0.1971996955286488,0,0,0,1,0
1,1,0,1,0,0,0,1,0,1,1,0,0.21174017007912913,220.132293,0.2853257502779975,1,0,0,1,0
24,1,1,1,1,0,0,0,0,0,0,0,0.2858231816630244,124.960655,0.3217958602933365,0,0,0,0,0
12,1,1,1,1,1,1,1,1,1,0,0,0.05571514512774971,199.990219,0.16953808980979282,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0.02449686353180748,159.947583,0.12715801551355593,0,0,0,0,0
12,0,0,0,0,1,1,1,0,1,1,0,0.05595551497850759,245.145743,0.14977889988600526,1,0,0,1,0
1,1,0,1,1,1,0,1,0,1,1,0,0.1307629493153068,255.155493,0.20866805646651937,1,0,1,0,0
24,1,1,1,0,0,1,0,0,0,0,0,0.022274007293328207,134.950905,0.027058459264922525,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0.08374026853795197,159.947583,0.1815644339064689,0,0,1,0,0
1,0,0,1,1,1,0,0,1,0,0,1,0.12675043750385162,139.987503,0.18516921291491303,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,1,0,0.07092320539340805,179.947583,0.09138164095500124,1,0,0,0,0
1,0,1,0,0,0,1,1,0,0,0,1,0.11274387959987392,127.473844,0.16825755004394177,0,0,1,0,0
12,1,0,1,1,0,0,1,0,1,1,0,0.057341598562269516,232.637807,0.17801137693737784,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,0,1,0.15522475518044704,195.006206,0.18443562007199318,1,0,0,0,0
1,1,1,1,1,0,1,1,1,1,1,1,0.05702958068097949,267.642733,0.21517950174237385,0,0,0,0,0
24,0,1,1,0,1,0,0,0,0,1,0,0.2418654592749139,149.959755,0.22162347793859744,1,0,0,0,1
24,1,0,1,1,0,0,0,0,1,1,1,0.2016889459443989,220.114868,0.2893201063281236,0,0,0,0,0
1,0,0,1,1,0,0,1,0,0,0,0,0.21226482872446992,157.483594,0.20278174444458877,1,0,0,0,1
24,1,0,1,0,0,0,0,1,0,1,0,0.09680573122147625,127.474951,0.1247926993759085,0,1,0,1,0
24,0,0,1,0,0,1,1,0,1,0,1,0.3187143342210715,139.981577,0.316225558260504,0,1,0,1,0
1,0,0,1,1,0,1,1,0,1,1,1,0.3501907072643275,255.133571,0.45040679683088414,0,0,0,1,0
12,0,0,1,1,0,1,1,0,0,1,1,0.11838142823475954,194.966286,0.20957699555289747,0,0,0,0,1
1,1,0,1,1,0,1,0,1,0,0,1,0.16682823072618988,179.965581,0.14145738113455447,1,0,0,0,1
